日期,平台,城区,小区,服务类型,服务等级,计价方式,单价(元),总价(元),促销价(元),淡旺季
2025/11/21,美团家政,兴宁,龙基传媒星城,日常保洁,新手,3小时,38.3,115,,平日
2025/2/22,美团家政,青秀,龙光君御华府,深度清洁,熟练,4小时,84.7,339,286,旺季
2025/11/2,天鹅到家,兴宁,金源城,日常保洁,熟练,3小时,47,141,,平日
2026/5/16,美团家政,江南,绿港阳光城,开荒保洁,新手,100㎡,4.1,410,,平日
2025/2/2,美团家政,江南,风格雨林,日常保洁,熟练,3小时,49.3,148,127,旺季
2025/11/1,天鹅到家,青秀,保利21世家,日常保洁,新手,4小时,45.5,182,,平日
2026/2/16,58到家,江南,风格雨林,开荒保洁,金牌,80㎡,6.8,544,,旺季
2025/12/22,美团家政,江南,绿港阳光城,家电清洗-油烟机,金牌,2台-油烟机,177,354,,旺季
2025/6/16,58到家,良庆,阳光新城,日常保洁,金牌,3小时,52.5,158,,平日
2025/12/16,天鹅到家,青秀,蓝山上城,深度清洁,熟练,4小时,94.8,379,,旺季
2025/2/5,58到家,西乡塘,人和莱茵鹭湖,深度清洁,新手,5小时,58.6,293,,旺季
2025/7/13,美团家政,江南,昌泰鑫金绿洲,深度清洁,熟练,4小时,76.5,306,,旺季
2025/8/3,天鹅到家,青秀,万达公馆,开荒保洁,金牌,80㎡,8,640,552,旺季
2025/3/27,天鹅到家,西乡塘,昌泰清华园,家电清洗-冰箱,熟练,2台-冰箱,158.3,317,,旺季
2025/1/6,美团家政,良庆,碧水天和,开荒保洁,熟练,100㎡,7.8,780,,旺季
2026/1/31,天鹅到家,西乡塘,大唐天城,日常保洁,金牌,4小时,67.1,268,,旺季
2026/5/8,美团家政,青秀,蓝山上城,日常保洁,新手,4小时,45.5,182,,平日
2025/6/28,58到家,青秀,蓝山上城,开荒保洁,新手,100㎡,4.4,440,,平日
2025/1/12,58到家,西乡塘,人和莱茵鹭湖,家电清洗-热水器,熟练,1台-热水器,149.3,149,,旺季
2025/8/7,58到家,青秀,龙光君御华府,深度清洁,新手,5小时,66.3,332,284,旺季
2025/4/12,58到家,西乡塘,荣和摩客社区,日常保洁,新手,3小时,47.1,141,,旺季
2025/2/2,天鹅到家,青秀,香格里拉花园,深度清洁,熟练,3小时,91.7,275,247,旺季
2025/9/28,天鹅到家,良庆,阳光新城,深度清洁,熟练,3小时,75.4,226,,平日
2025/3/30,天鹅到家,西乡塘,正恒国际广场,家电清洗-柜机空调,熟练,1台-柜机空调,148.4,148,114,旺季
2025/7/11,天鹅到家,青秀,龙光君御华府,深度清洁,新手,4小时,72.3,289,,旺季
2025/10/3,天鹅到家,邕宁,世茂茂御府,深度清洁,熟练,3小时,81.6,245,,旺季
2025/11/14,美团家政,邕宁,阳光城丽景湾,深度清洁,新手,4小时,63.5,254,,平日
2025/9/11,58到家,西乡塘,荣和摩客社区,开荒保洁,熟练,80㎡,4.8,384,338,平日
2025/5/30,美团家政,良庆,碧水天和,日常保洁,熟练,4小时,49.6,198,,平日
2025/10/9,天鹅到家,青秀,保利21世家,日常保洁,熟练,3小时,58.4,175,,旺季
2026/1/25,天鹅到家,江南,融晟公园大地,家电清洗-柜机空调,新手,1台-柜机空调,123.7,124,,旺季
2025/8/19,58到家,良庆,恒大绿洲,深度清洁,金牌,3小时,87.9,264,,旺季
2025/12/19,58到家,邕宁,万丰新新传说,日常保洁,新手,3小时,47.9,144,,旺季
2025/10/19,58到家,江南,昌泰鑫金绿洲,深度清洁,新手,5小时,56.9,284,,旺季
2026/5/3,天鹅到家,武鸣,红岭小区,日常保洁,熟练,4小时,59.9,240,,平日
2026/3/20,天鹅到家,青秀,香格里拉花园,日常保洁,新手,3小时,59.8,179,,旺季
2025/12/13,58到家,江南,昌泰鑫金绿洲,深度清洁,熟练,4小时,73,292,,旺季
2026/3/27,美团家政,良庆,华润二十四城,日常保洁,金牌,3小时,67.8,203,,旺季
2025/10/25,美团家政,邕宁,中铁交通天地明珠,开荒保洁,熟练,120㎡,6.6,792,,旺季
2025/7/23,美团家政,武鸣,标营新区,深度清洁,新手,3小时,74.7,224,,旺季
2025/10/17,58到家,兴宁,奥园园著,日常保洁,熟练,4小时,44,176,,旺季
2025/3/22,58到家,江南,风格雨林,日常保洁,熟练,3小时,54.5,164,,旺季
2026/3/24,58到家,青秀,万达公馆,日常保洁,熟练,5小时,58.4,292,,旺季
2025/6/6,天鹅到家,西乡塘,龙光水悦龙湾,深度清洁,新手,3小时,54.7,164,,平日
2025/3/9,天鹅到家,青秀,塞纳维拉花园,深度清洁,新手,3小时,85.4,256,,旺季
2025/8/5,天鹅到家,青秀,保利21世家,日常保洁,新手,3小时,48.9,147,,旺季
2025/6/3,美团家政,良庆,龙光玖珑湖,深度清洁,熟练,3小时,73.6,221,190,平日
2025/8/14,58到家,西乡塘,人和莱茵鹭湖,家电清洗-冰箱,熟练,1台-冰箱,116,116,102,旺季
2025/10/29,天鹅到家,良庆,阳光新城,日常保洁,新手,3小时,49.4,148,126,旺季
2026/1/5,天鹅到家,良庆,华润二十四城,日常保洁,金牌,3小时,74.6,224,,旺季
2025/4/7,天鹅到家,良庆,融创九棠府,日常保洁,金牌,3小时,71.1,213,178,旺季
2025/11/1,美团家政,江南,龙光普罗旺斯,家电清洗-洗衣机,金牌,2台-洗衣机,152.3,305,,平日
2025/7/7,天鹅到家,西乡塘,联发西棠,家电清洗-挂机空调,熟练,1台-挂机空调,126.6,127,115,旺季
2026/5/1,58到家,江南,南宁奥园,开荒保洁,熟练,130㎡,4.8,624,,平日
2025/11/12,美团家政,良庆,绿地国际花都,日常保洁,金牌,3小时,54.6,164,,平日
2025/11/21,天鹅到家,西乡塘,骋望麓涛,日常保洁,熟练,3小时,44,132,109,平日
2025/8/21,天鹅到家,西乡塘,正恒国际广场,开荒保洁,熟练,80㎡,5.8,464,,旺季
2025/12/26,美团家政,青秀,万达公馆,深度清洁,熟练,5小时,86.1,430,,旺季
2026/1/19,58到家,兴宁,瀚林山水源,开荒保洁,新手,130㎡,5.3,689,600,旺季
2025/10/23,天鹅到家,青秀,凤岭春天,深度清洁,新手,4小时,70.4,282,249,旺季
2026/4/3,天鹅到家,西乡塘,骋望麓涛,日常保洁,熟练,3小时,59.6,179,136,旺季
2025/7/6,58到家,武鸣,恒泰丽园,家电清洗-热水器,金牌,2台-热水器,187.2,374,339,旺季
2025/6/13,58到家,兴宁,联发尚筑,日常保洁,熟练,3小时,40.7,122,,平日
2026/5/18,美团家政,武鸣,红岭小区,家电清洗-油烟机,金牌,2台-油烟机,176.1,352,,平日
2025/7/8,美团家政,良庆,绿地国际花都,开荒保洁,新手,120㎡,5.1,612,,旺季
2026/1/31,美团家政,兴宁,恒大华府,开荒保洁,新手,60㎡,5.9,354,298,旺季
2025/11/22,天鹅到家,邕宁,合景天峻广场,日常保洁,熟练,5小时,51.7,258,217,平日
2025/5/2,58到家,江南,龙光普罗旺斯,家电清洗-油烟机,新手,1台-油烟机,81.1,81,72,平日
2025/7/31,天鹅到家,邕宁,大唐盛世,家电清洗-挂机空调,新手,1台-挂机空调,114.7,115,,旺季
2025/10/31,天鹅到家,青秀,塞纳维拉花园,家电清洗-油烟机,新手,2台-油烟机,123.3,247,,旺季
2026/3/2,天鹅到家,良庆,港保苑,日常保洁,新手,3小时,53.3,160,,旺季
2025/2/25,美团家政,青秀,凤岭春天,深度清洁,熟练,4小时,87,348,,旺季
2025/8/20,58到家,江南,盛天领域,日常保洁,金牌,3小时,53.7,161,,旺季
2025/1/21,美团家政,邕宁,合景天峻广场,日常保洁,熟练,3小时,64.7,194,155,旺季
2026/2/24,美团家政,青秀,龙光君御华府,家电清洗-热水器,熟练,1台-热水器,146.6,147,130,旺季
2025/3/4,美团家政,青秀,山水方园,家电清洗-冰箱,新手,2台-冰箱,130.7,261,,旺季
2025/2/13,天鹅到家,西乡塘,骋望麓涛,日常保洁,新手,5小时,46,230,208,旺季
2026/3/1,58到家,青秀,凤岭春天,日常保洁,金牌,4小时,70.1,280,,旺季
2025/1/16,58到家,西乡塘,人和莱茵鹭湖,日常保洁,金牌,3小时,62.4,187,,旺季
2025/1/18,天鹅到家,西乡塘,龙光水悦龙湾,深度清洁,熟练,4小时,93.8,375,306,旺季
2025/8/3,美团家政,西乡塘,大唐天城,日常保洁,金牌,4小时,56.1,224,,旺季
2026/2/5,天鹅到家,良庆,碧水天和,开荒保洁,新手,120㎡,5.5,660,531,旺季
2025/4/23,美团家政,邕宁,南宁宝能城市广场,日常保洁,金牌,4小时,67.1,268,,旺季
2025/4/30,美团家政,青秀,塞纳维拉花园,日常保洁,熟练,5小时,60.4,302,,旺季
2025/4/23,天鹅到家,邕宁,万丰新新传说,日常保洁,金牌,3小时,68.9,207,,旺季
2026/2/17,天鹅到家,西乡塘,昌泰清华园,日常保洁,熟练,4小时,53.2,213,,旺季
2025/4/7,58到家,江南,绿港阳光城,深度清洁,新手,3小时,66.7,200,166,旺季
2025/6/19,天鹅到家,青秀,华润幸福里,日常保洁,新手,3小时,44.2,133,116,平日
2025/3/14,美团家政,邕宁,合景天峻广场,家电清洗-柜机空调,熟练,2台-柜机空调,160.2,320,,旺季
2025/6/15,美团家政,武鸣,武鸣碧桂园,开荒保洁,金牌,120㎡,7.6,912,,平日
2025/12/22,天鹅到家,兴宁,保利山渐青,开荒保洁,金牌,130㎡,7.4,962,,旺季
2025/3/7,美团家政,西乡塘,昌泰清华园,日常保洁,金牌,4小时,59,236,,旺季
2026/4/17,天鹅到家,青秀,中房翡翠园,日常保洁,熟练,3小时,67.7,203,186,旺季
2025/3/27,天鹅到家,邕宁,中铁交通天地明珠,开荒保洁,熟练,120㎡,7.5,900,713,旺季
2025/2/4,58到家,良庆,恒大绿洲,开荒保洁,新手,150㎡,5.2,780,,旺季
2026/3/29,58到家,江南,风格雨林,日常保洁,熟练,4小时,54,216,,旺季
2026/1/24,天鹅到家,青秀,凤岭春天,日常保洁,金牌,3小时,76.5,230,177,旺季
2025/6/25,美团家政,邕宁,世茂茂御府,开荒保洁,熟练,80㎡,5.7,456,,平日
2026/4/3,58到家,西乡塘,荣和摩客社区,家电清洗-冰箱,新手,1台-冰箱,101.5,102,,旺季
2026/5/14,美团家政,良庆,碧水天和,开荒保洁,熟练,100㎡,5.9,590,452,平日
2025/7/21,天鹅到家,江南,保利城,日常保洁,熟练,4小时,48.5,194,,旺季
2025/11/17,天鹅到家,江南,盛天领域,日常保洁,新手,3小时,42.2,127,,平日
2025/3/1,58到家,兴宁,中海国际社区,深度清洁,熟练,3小时,80.9,243,,旺季
2025/7/9,58到家,良庆,港保苑,日常保洁,熟练,3小时,49.4,148,113,旺季
2026/1/21,天鹅到家,西乡塘,骋望麓涛,开荒保洁,金牌,130㎡,9.3,1209,,旺季
2025/10/11,美团家政,邕宁,万丰新新传说,家电清洗-冰箱,熟练,1台-冰箱,139.4,139,126,旺季
2026/1/1,美团家政,江南,南宁奥园,开荒保洁,熟练,80㎡,6.8,544,,旺季
2025/3/30,美团家政,武鸣,标营新区,日常保洁,熟练,5小时,68.3,342,,旺季
2025/11/18,美团家政,邕宁,南宁宝能城市广场,日常保洁,熟练,3小时,46.4,139,,平日
2025/10/10,58到家,邕宁,大唐盛世,家电清洗-柜机空调,新手,2台-柜机空调,98.9,198,168,旺季
2025/10/26,美团家政,武鸣,红岭小区,开荒保洁,金牌,120㎡,9,1080,930,旺季
2025/10/20,天鹅到家,江南,绿港阳光城,日常保洁,新手,4小时,45.1,180,,旺季
2025/7/22,58到家,西乡塘,大嘉汇尚悦,开荒保洁,金牌,120㎡,6.3,756,,旺季
2025/6/5,58到家,良庆,港保苑,家电清洗-洗衣机,熟练,1台-洗衣机,118.6,119,,平日
2026/2/1,58到家,良庆,阳光新城,深度清洁,新手,4小时,64.9,260,,旺季
2026/1/15,58到家,兴宁,龙基传媒星城,开荒保洁,熟练,80㎡,6.5,520,,旺季
2025/7/26,美团家政,兴宁,恒大华府,家电清洗-洗衣机,新手,1台-洗衣机,101.5,102,84,旺季
2026/4/16,58到家,西乡塘,正恒国际广场,日常保洁,熟练,4小时,53.2,213,161,旺季
2025/7/10,58到家,西乡塘,人和莱茵鹭湖,家电清洗-热水器,熟练,2台-热水器,119.1,238,,旺季
2025/5/13,天鹅到家,邕宁,中铁交通天地明珠,日常保洁,熟练,3小时,52.4,157,,平日
2025/4/20,美团家政,西乡塘,龙光水悦龙湾,日常保洁,熟练,3小时,57,171,,旺季
2025/12/16,美团家政,江南,绿港阳光城,深度清洁,熟练,3小时,74.6,224,,旺季
2026/4/28,58到家,西乡塘,正恒国际广场,深度清洁,熟练,3小时,79.4,238,191,旺季
2025/9/24,天鹅到家,良庆,恒大绿洲,日常保洁,金牌,3小时,57.3,172,,平日
2025/5/25,58到家,西乡塘,联发西棠,日常保洁,金牌,5小时,46.4,232,200,平日
2026/5/3,天鹅到家,良庆,龙光玖珑湖,深度清洁,新手,3小时,65.3,196,,平日
2025/11/4,58到家,西乡塘,人和莱茵鹭湖,开荒保洁,熟练,100㎡,4.9,490,,平日
2025/7/18,天鹅到家,青秀,蓝山上城,家电清洗-油烟机,金牌,1台-油烟机,198.4,198,,旺季
2025/9/1,天鹅到家,良庆,绿地国际花都,家电清洗-热水器,金牌,1台-热水器,165.9,166,,平日
2026/1/15,58到家,西乡塘,大唐天城,开荒保洁,新手,120㎡,5.5,660,520,旺季
2026/3/23,58到家,良庆,合景天汇广场,日常保洁,熟练,4小时,59.8,239,,旺季
2026/3/20,天鹅到家,西乡塘,昌泰清华园,日常保洁,金牌,4小时,62.2,249,,旺季
2025/9/29,58到家,良庆,龙光玖珑湖,日常保洁,新手,4小时,42.4,170,,平日
2026/5/21,58到家,青秀,香格里拉花园,开荒保洁,熟练,150㎡,5.7,855,,平日
2025/6/10,天鹅到家,青秀,凤岭春天,日常保洁,熟练,3小时,53.3,160,141,平日
2026/2/4,美团家政,青秀,龙光君御华府,深度清洁,熟练,4小时,87.2,349,274,旺季
2025/7/11,美团家政,邕宁,龙光玖珑湾,日常保洁,新手,5小时,45.4,227,,旺季
2025/6/26,58到家,青秀,龙光君御华府,深度清洁,新手,3小时,62.7,188,150,平日
2026/1/8,天鹅到家,西乡塘,瀚林华府,深度清洁,熟练,3小时,92.5,278,,旺季
2025/7/3,美团家政,青秀,维也纳森林,家电清洗-洗衣机,熟练,1台-洗衣机,149.4,149,130,旺季
2025/10/29,天鹅到家,青秀,万达公馆,开荒保洁,熟练,130㎡,7.2,936,787,旺季
2025/1/25,天鹅到家,武鸣,红岭小区,开荒保洁,新手,80㎡,7.4,592,,旺季
2025/10/8,58到家,江南,绿港阳光城,日常保洁,熟练,3小时,45.3,136,,旺季
2025/12/6,天鹅到家,良庆,南宁恒大名都,开荒保洁,熟练,80㎡,7,560,,旺季
2025/5/25,美团家政,兴宁,中海国际社区,日常保洁,新手,3小时,39.8,119,,平日
2025/7/3,天鹅到家,良庆,龙光玖珑湖,日常保洁,熟练,3小时,56.7,170,,旺季
2025/5/1,美团家政,青秀,保利21世家,家电清洗-柜机空调,金牌,2台-柜机空调,163.1,326,273,平日
2026/1/6,天鹅到家,青秀,莱茵湖畔,深度清洁,熟练,3小时,105.5,316,281,旺季
2026/3/24,美团家政,邕宁,合景天峻广场,开荒保洁,新手,80㎡,5.5,440,,旺季
2025/1/24,美团家政,邕宁,世茂茂御府,日常保洁,金牌,4小时,71.8,287,,旺季
2025/7/10,58到家,青秀,龙光君御华府,深度清洁,熟练,4小时,82.2,329,,旺季
2025/8/4,天鹅到家,邕宁,世茂茂御府,日常保洁,熟练,3小时,58.3,175,,旺季
2025/2/23,58到家,邕宁,大唐盛世,开荒保洁,熟练,80㎡,6.4,512,,旺季
2025/11/10,美团家政,邕宁,世茂茂御府,深度清洁,熟练,4小时,72.9,292,252,平日
2025/1/7,天鹅到家,邕宁,龙光玖珑湾,家电清洗-油烟机,熟练,1台-油烟机,178.5,178,,旺季
2025/9/4,58到家,西乡塘,荣和摩客社区,日常保洁,金牌,4小时,45.1,180,,平日
2025/3/22,天鹅到家,邕宁,大唐盛世,家电清洗-冰箱,新手,2台-冰箱,125.2,250,,旺季
2025/1/26,天鹅到家,青秀,塞纳维拉花园,日常保洁,金牌,3小时,80,240,,旺季
2025/8/18,美团家政,邕宁,大唐盛世,日常保洁,金牌,5小时,60.8,304,249,旺季
2025/10/13,天鹅到家,青秀,保利21世家,开荒保洁,金牌,100㎡,8.7,870,,旺季
2025/12/2,天鹅到家,江南,金湾花城,日常保洁,新手,3小时,47.9,144,,旺季
2026/1/28,天鹅到家,西乡塘,瀚林华府,开荒保洁,新手,100㎡,5.6,560,,旺季
2025/11/21,58到家,江南,金湾花城,开荒保洁,新手,80㎡,4,320,,平日
2026/1/16,天鹅到家,良庆,绿地国际花都,深度清洁,新手,4小时,83.1,332,,旺季
2025/4/8,天鹅到家,良庆,阳光新城,日常保洁,熟练,5小时,63.8,319,,旺季
2025/8/19,58到家,西乡塘,大唐天城,日常保洁,熟练,4小时,47.3,189,,旺季
2025/8/10,天鹅到家,江南,南宁奥园,开荒保洁,金牌,80㎡,7.4,592,483,旺季
2025/11/4,天鹅到家,邕宁,万丰新新传说,深度清洁,熟练,5小时,78.6,393,359,平日
2026/5/12,58到家,江南,绿港阳光城,日常保洁,熟练,5小时,42.1,210,,平日
2025/10/8,58到家,西乡塘,大唐天城,深度清洁,新手,4小时,59.3,237,,旺季
2026/4/17,天鹅到家,青秀,蓝山上城,开荒保洁,金牌,120㎡,9.7,1164,,旺季
2025/10/15,58到家,西乡塘,荣和摩客社区,开荒保洁,金牌,100㎡,6.8,680,,旺季
2025/1/7,天鹅到家,青秀,龙光君御华府,日常保洁,熟练,3小时,69.8,209,,旺季
2026/5/19,58到家,西乡塘,人和莱茵鹭湖,家电清洗-油烟机,熟练,1台-油烟机,112.8,113,100,平日
2025/2/22,天鹅到家,邕宁,龙光玖珑湾,开荒保洁,熟练,100㎡,7,700,,旺季
2025/12/23,58到家,西乡塘,大嘉汇尚悦,家电清洗-柜机空调,熟练,2台-柜机空调,132.4,265,232,旺季
2025/4/14,天鹅到家,邕宁,大唐盛世,开荒保洁,金牌,120㎡,9.3,1116,,旺季
2025/11/5,美团家政,兴宁,保利山渐青,日常保洁,新手,5小时,36.9,184,,平日
2026/1/12,天鹅到家,青秀,荣和大地,深度清洁,熟练,3小时,104.4,313,,旺季
2025/1/3,58到家,江南,绿港阳光城,日常保洁,金牌,4小时,60.9,244,,旺季
2025/11/12,天鹅到家,良庆,南宁恒大名都,深度清洁,新手,5小时,62.2,311,243,平日
2025/2/4,天鹅到家,青秀,万正鸣翠谷,深度清洁,新手,3小时,79.1,237,,旺季
2025/6/19,58到家,良庆,南宁恒大名都,深度清洁,金牌,5小时,78.2,391,,平日
2025/8/17,美团家政,邕宁,龙光玖珑湾,家电清洗-油烟机,熟练,2台-油烟机,145.6,291,,旺季
2025/7/17,58到家,江南,汇东星城,日常保洁,熟练,3小时,46.3,139,,旺季
2025/9/7,美团家政,良庆,融创九棠府,日常保洁,熟练,3小时,46.8,140,,平日
2025/10/3,天鹅到家,青秀,保利21世家,日常保洁,熟练,3小时,60.3,181,,旺季
2025/2/23,美团家政,江南,风格雨林,深度清洁,金牌,5小时,91.6,458,399,旺季
2025/1/20,美团家政,青秀,华润幸福里,开荒保洁,熟练,100㎡,8.5,850,,旺季
2025/8/19,天鹅到家,良庆,合景天汇广场,日常保洁,熟练,4小时,52.9,212,,旺季
2025/2/2,天鹅到家,西乡塘,骋望麓涛,日常保洁,熟练,3小时,54.4,163,,旺季
2025/2/14,58到家,兴宁,中海国际社区,日常保洁,金牌,3小时,54.2,163,,旺季
2025/3/11,天鹅到家,良庆,碧水天和,日常保洁,熟练,3小时,64.4,193,,旺季
2026/2/12,天鹅到家,西乡塘,大嘉汇尚悦,深度清洁,熟练,3小时,76.4,229,,旺季
2025/7/21,天鹅到家,江南,盛天领域,日常保洁,熟练,5小时,49.8,249,,旺季
2025/11/27,天鹅到家,青秀,华润幸福里,日常保洁,金牌,3小时,57.2,172,,平日
2025/10/18,美团家政,邕宁,大唐盛世,深度清洁,新手,5小时,63.9,320,279,旺季
2025/9/7,58到家,良庆,融创九棠府,开荒保洁,新手,80㎡,4.6,368,,平日
2025/8/19,58到家,西乡塘,正恒国际广场,开荒保洁,新手,120㎡,4.5,540,,旺季
2025/3/28,美团家政,良庆,万科魅力之城,开荒保洁,熟练,100㎡,7.5,750,656,旺季
2026/3/26,58到家,江南,金湾花城,开荒保洁,熟练,80㎡,6,480,,旺季
2026/3/7,58到家,邕宁,世茂茂御府,家电清洗-柜机空调,新手,1台-柜机空调,119.5,120,,旺季
2026/3/11,天鹅到家,西乡塘,昌泰清华园,深度清洁,熟练,3小时,90.5,272,,旺季
2025/10/6,天鹅到家,江南,绿港阳光城,日常保洁,新手,4小时,45.3,181,150,旺季
2025/9/19,美团家政,良庆,碧水天和,日常保洁,新手,4小时,43.1,172,,平日
2025/3/13,58到家,青秀,中房翡翠园,家电清洗-洗衣机,熟练,2台-洗衣机,165.1,330,290,旺季
2025/4/29,美团家政,良庆,万科魅力之城,日常保洁,新手,3小时,52.3,157,,旺季
2026/3/28,美团家政,青秀,塞纳维拉花园,日常保洁,熟练,4小时,64.1,256,224,旺季
2025/10/24,天鹅到家,江南,风格雨林,开荒保洁,熟练,80㎡,6.1,488,,旺季
2026/4/10,美团家政,江南,金湾花城,开荒保洁,新手,150㎡,5.5,825,742,旺季
2025/8/14,美团家政,青秀,万正鸣翠谷,深度清洁,新手,3小时,67.4,202,,旺季
2026/2/23,美团家政,西乡塘,荣和摩客社区,开荒保洁,熟练,150㎡,6.1,915,,旺季
2025/10/30,美团家政,西乡塘,荣和摩客社区,日常保洁,新手,4小时,42.7,171,143,旺季
2026/4/2,天鹅到家,青秀,华润幸福里,日常保洁,新手,4小时,58.4,234,,旺季
2025/1/10,天鹅到家,西乡塘,正恒国际广场,家电清洗-热水器,新手,2台-热水器,130.9,262,233,旺季
2025/11/4,美团家政,兴宁,盛天东郡,深度清洁,熟练,3小时,68.2,205,,平日
2025/8/21,天鹅到家,西乡塘,龙光水悦龙湾,日常保洁,新手,3小时,43,129,,旺季
2025/9/16,天鹅到家,良庆,龙光玖珑湖,深度清洁,新手,4小时,64,256,,平日
2025/9/30,天鹅到家,兴宁,瀚林山水源,深度清洁,新手,4小时,57.8,231,210,平日
2025/12/14,天鹅到家,江南,风格雨林,日常保洁,新手,4小时,46,184,,旺季
2025/9/4,58到家,良庆,华润二十四城,家电清洗-热水器,金牌,1台-热水器,152.9,153,135,平日
2026/4/11,美团家政,良庆,碧水天和,深度清洁,新手,5小时,77.7,388,325,旺季
2025/9/24,美团家政,良庆,万科魅力之城,开荒保洁,新手,120㎡,4.4,528,,平日
2025/10/27,58到家,良庆,碧水天和,深度清洁,熟练,3小时,81,243,,旺季
2025/4/15,58到家,江南,南宁奥园,深度清洁,熟练,4小时,79.6,318,,旺季
2025/10/23,58到家,兴宁,金源城,开荒保洁,金牌,80㎡,6.8,544,,旺季
2025/12/25,美团家政,青秀,万正鸣翠谷,深度清洁,新手,4小时,73.8,295,,旺季
2025/1/27,美团家政,良庆,融创九棠府,日常保洁,新手,3小时,57,171,,旺季
2025/2/15,美团家政,良庆,合景天汇广场,日常保洁,新手,4小时,50.8,203,,旺季
2025/12/2,天鹅到家,良庆,南宁恒大名都,日常保洁,熟练,3小时,59,177,,旺季
2025/4/14,天鹅到家,武鸣,万隆国际,日常保洁,熟练,4小时,72,288,224,旺季
2025/1/19,58到家,青秀,荣和大地,家电清洗-油烟机,新手,2台-油烟机,130,260,,旺季
2025/10/28,美团家政,江南,盛天领域,家电清洗-柜机空调,熟练,2台-柜机空调,125.1,250,,旺季
2025/4/26,天鹅到家,武鸣,九个半岛,家电清洗-油烟机,熟练,1台-油烟机,187.3,187,143,旺季
2025/5/31,58到家,武鸣,万隆国际,家电清洗-热水器,金牌,2台-热水器,178.4,357,,平日
2025/10/16,58到家,兴宁,龙基传媒星城,家电清洗-冰箱,熟练,1台-冰箱,120.8,121,99,旺季
2026/2/8,美团家政,西乡塘,龙光水悦龙湾,开荒保洁,熟练,120㎡,6,720,642,旺季
2025/5/8,58到家,青秀,塞纳维拉花园,开荒保洁,新手,80㎡,4.6,368,,平日
2026/4/3,天鹅到家,良庆,华润二十四城,开荒保洁,金牌,150㎡,9.3,1395,1104,旺季
2025/5/16,美团家政,青秀,香格里拉花园,日常保洁,熟练,3小时,52,156,119,平日
2026/5/5,天鹅到家,江南,龙光普罗旺斯,开荒保洁,熟练,60㎡,5.7,342,,平日
2025/6/11,58到家,邕宁,南宁宝能城市广场,深度清洁,金牌,4小时,80.5,322,273,平日
2025/1/28,天鹅到家,兴宁,中海国际社区,家电清洗-油烟机,新手,2台-油烟机,130.8,262,,旺季
2025/8/23,美团家政,西乡塘,联发西棠,日常保洁,新手,5小时,41.1,206,,旺季
2025/6/16,58到家,西乡塘,正恒国际广场,日常保洁,新手,3小时,36.6,110,,平日
2025/7/7,美团家政,江南,融晟公园大地,深度清洁,熟练,3小时,76,228,178,旺季
2025/3/9,天鹅到家,西乡塘,骋望麓涛,开荒保洁,金牌,130㎡,8.5,1105,979,旺季
2026/1/14,美团家政,江南,龙光普罗旺斯,日常保洁,熟练,5小时,59.5,298,,旺季
2026/2/7,58到家,良庆,碧水天和,家电清洗-挂机空调,新手,1台-挂机空调,102.8,103,,旺季
2025/9/1,天鹅到家,青秀,蓝山上城,日常保洁,熟练,4小时,53.2,213,,平日
2025/6/26,美团家政,良庆,合景天汇广场,家电清洗-洗衣机,金牌,1台-洗衣机,169.5,170,137,平日
2025/9/19,58到家,兴宁,中海国际社区,家电清洗-油烟机,熟练,2台-油烟机,111.4,223,174,平日
2026/2/18,58到家,良庆,南宁恒大名都,深度清洁,金牌,3小时,90.6,272,,旺季
2025/6/10,58到家,西乡塘,正恒国际广场,深度清洁,熟练,4小时,65.6,262,,平日
2026/1/18,天鹅到家,江南,保利城,深度清洁,新手,3小时,74.8,224,178,旺季
2026/1/16,天鹅到家,兴宁,保利山渐青,日常保洁,新手,3小时,56.7,170,,旺季
2025/1/28,美团家政,兴宁,恒大华府,开荒保洁,新手,100㎡,5.7,570,518,旺季
2025/7/19,58到家,青秀,蓝山上城,日常保洁,熟练,3小时,53.3,160,121,旺季
2025/7/2,58到家,邕宁,大唐盛世,家电清洗-油烟机,熟练,2台-油烟机,128.2,256,,旺季
2025/10/4,美团家政,西乡塘,联发西棠,深度清洁,熟练,4小时,72.9,292,,旺季
2025/10/1,58到家,邕宁,大唐盛世,深度清洁,金牌,4小时,88.8,355,,旺季
2025/3/21,58到家,青秀,万正鸣翠谷,开荒保洁,金牌,120㎡,8.4,1008,,旺季
2025/12/19,58到家,武鸣,九个半岛,日常保洁,熟练,3小时,61,183,,旺季
2025/10/8,58到家,青秀,维也纳森林,深度清洁,熟练,3小时,82.4,247,,旺季
2026/3/1,58到家,青秀,保利21世家,深度清洁,新手,4小时,78.2,313,,旺季
2025/5/26,天鹅到家,兴宁,江宇世纪城,深度清洁,金牌,3小时,78.6,236,195,平日
2025/8/20,58到家,西乡塘,联发西棠,日常保洁,新手,3小时,42.3,127,116,旺季
2025/5/25,58到家,青秀,凤岭春天,开荒保洁,新手,80㎡,4.4,352,289,平日
2026/2/7,58到家,武鸣,九个半岛,开荒保洁,新手,80㎡,5.9,472,,旺季
2025/1/29,58到家,兴宁,瀚林山水源,深度清洁,新手,3小时,73.5,220,,旺季
2025/3/4,天鹅到家,青秀,山水方园,家电清洗-挂机空调,新手,1台-挂机空调,133.9,134,,旺季
2025/9/24,天鹅到家,武鸣,九个半岛,日常保洁,金牌,3小时,62.5,188,,平日
