订单ID,下单时间,城区,小区,服务类型,服务等级,服务时长,订单金额,客户评分,订单来源
NN20250402000423,2025-04-02 16:00,良庆,万科魅力之城,日常保洁,新手,4.0,194,4.3,美团
NN20250413000424,2025-04-13 15:22,良庆,港保苑,日常保洁,熟练,4.5,240,4.2,小程序
NN20250407000425,2025-04-07 16:08,良庆,恒大绿洲,深度清洁,金牌,7.5,714,4.1,美团
NN20250416000426,2025-04-16 10:24,武鸣,标营新区,家电清洗,金牌,4.5,679,4.4,美团
NN20250427000427,2025-04-27 18:00,江南,南宁奥园,开荒保洁,新手,3.5,258,4.3,美团
NN20250411000428,2025-04-11 18:53,兴宁,中海国际社区,深度清洁,熟练,7.0,509,4.1,美团
NN20250404000429,2025-04-04 18:55,江南,风格雨林,家电清洗,金牌,2.5,342,4.4,电话
NN20250403000430,2025-04-03 08:28,兴宁,金源城,深度清洁,熟练,5.5,394,3.8,小程序
NN20250410000431,2025-04-10 15:56,青秀,香格里拉花园,深度清洁,新手,4.5,303,4.3,小程序
NN20250415000432,2025-04-15 15:59,良庆,南宁恒大名都,家电清洗,熟练,2.5,313,4.4,小程序
NN20250403000433,2025-04-03 14:40,邕宁,阳光城丽景湾,深度清洁,熟练,5.0,398,4.0,APP
NN20250420000434,2025-04-20 18:03,西乡塘,骋望麓涛,日常保洁,新手,4.0,172,4.1,小程序
NN20250405000435,2025-04-05 13:45,西乡塘,骋望麓涛,开荒保洁,金牌,8.0,1358,4.3,小程序
NN20250417000436,2025-04-17 12:05,良庆,融创九棠府,开荒保洁,金牌,9.0,1618,4.9,小程序
NN20250403000437,2025-04-03 13:46,西乡塘,荣和摩客社区,日常保洁,熟练,3.5,187,4.5,小程序
NN20250407000438,2025-04-07 12:59,青秀,香格里拉花园,深度清洁,熟练,5.5,460,4.0,小程序
NN20250416000439,2025-04-16 15:39,西乡塘,龙光水悦龙湾,深度清洁,金牌,5.0,437,4.1,58到家
NN20250410000440,2025-04-10 11:01,西乡塘,正恒国际广场,深度清洁,新手,5.0,285,3.8,小程序
NN20250417000441,2025-04-17 15:01,西乡塘,人和莱茵鹭湖,深度清洁,新手,4.5,257,4.1,小程序
NN20250405000442,2025-04-05 15:30,邕宁,龙光玖珑湾,日常保洁,新手,3.0,148,4.5,电话
NN20250415000443,2025-04-15 14:25,青秀,荣和大地,深度清洁,熟练,7.5,604,4.1,电话
NN20250425000444,2025-04-25 10:19,良庆,南宁恒大名都,深度清洁,熟练,8.0,604,4.4,小程序
NN20250412000445,2025-04-12 19:42,青秀,万正鸣翠谷,日常保洁,熟练,5.0,301,4.1,美团
NN20250422000446,2025-04-22 13:45,江南,龙光普罗旺斯,深度清洁,熟练,6.0,436,3.8,美团
NN20250408000447,2025-04-08 09:11,江南,龙光普罗旺斯,深度清洁,熟练,5.0,368,4.3,小程序
NN20250409000448,2025-04-09 13:08,良庆,碧水天和,深度清洁,熟练,4.0,305,4.1,58到家
NN20250404000449,2025-04-04 15:27,西乡塘,瀚林华府,深度清洁,新手,3.5,218,4.5,小程序
NN20250415000450,2025-04-15 11:36,西乡塘,骋望麓涛,深度清洁,金牌,6.0,521,4.4,电话
NN20250409000451,2025-04-09 12:35,武鸣,麒麟御府,深度清洁,熟练,4.5,405,3.7,58到家
NN20250411000452,2025-04-11 11:52,邕宁,阳光城丽景湾,深度清洁,熟练,5.0,403,4.5,电话
NN20250417000453,2025-04-17 08:42,青秀,山水方园,开荒保洁,熟练,7.0,863,4.2,小程序
NN20250420000454,2025-04-20 13:35,兴宁,奥园园著,日常保洁,熟练,4.0,190,4.4,58到家
NN20250415000455,2025-04-15 10:33,青秀,华润幸福里,日常保洁,新手,3.5,174,3.9,电话
NN20250422000456,2025-04-22 09:55,江南,南宁奥园,深度清洁,新手,3.5,195,4.6,电话
NN20250405000457,2025-04-05 14:55,江南,保利城,深度清洁,熟练,6.5,480,4.4,美团
NN20250402000458,2025-04-02 16:04,邕宁,万丰新新传说,深度清洁,新手,3.5,243,4.4,小程序
NN20250421000459,2025-04-21 14:10,青秀,莱茵湖畔,日常保洁,熟练,6.0,369,4.2,美团
NN20250415000460,2025-04-15 19:08,西乡塘,人和莱茵鹭湖,家电清洗,新手,2.5,202,3.4,小程序
NN20250418000461,2025-04-18 11:19,西乡塘,荣和摩客社区,日常保洁,金牌,5.5,309,4.1,小程序
NN20250412000462,2025-04-12 13:54,江南,金湾花城,深度清洁,金牌,7.5,651,4.3,美团
NN20250421000463,2025-04-21 16:52,西乡塘,荣和摩客社区,日常保洁,熟练,6.0,302,3.7,58到家
NN20250403000464,2025-04-03 12:46,西乡塘,大嘉汇尚悦,家电清洗,金牌,5.0,510,3.8,58到家
NN20250421000465,2025-04-21 18:10,西乡塘,人和莱茵鹭湖,深度清洁,熟练,6.0,446,4.5,小程序
NN20250403000466,2025-04-03 09:35,武鸣,红岭小区,深度清洁,新手,4.0,312,3.5,58到家
NN20250409000467,2025-04-09 17:16,青秀,荣和大地,深度清洁,新手,3.5,255,3.9,小程序
NN20250429000468,2025-04-29 15:42,青秀,荣和大地,开荒保洁,熟练,5.5,742,3.4,美团
NN20250410000469,2025-04-10 11:48,西乡塘,瀚林华府,深度清洁,熟练,6.5,479,4.8,58到家
NN20250428000470,2025-04-28 18:26,江南,南宁奥园,日常保洁,熟练,3.0,147,3.6,小程序
NN20250425000471,2025-04-25 11:24,邕宁,南宁宝能城市广场,开荒保洁,熟练,6.5,836,4.4,小程序
NN20250419000472,2025-04-19 14:57,西乡塘,人和莱茵鹭湖,日常保洁,熟练,5.0,245,4.1,电话
NN20250429000473,2025-04-29 10:53,良庆,港保苑,深度清洁,熟练,5.0,421,4.3,美团
NN20250422000474,2025-04-22 16:38,青秀,中房翡翠园,日常保洁,新手,4.5,237,4.6,美团
NN20250410000475,2025-04-10 18:49,西乡塘,大唐天城,日常保洁,熟练,3.0,143,4.5,美团
NN20250412000476,2025-04-12 11:49,兴宁,恒大华府,开荒保洁,金牌,9.0,1460,3.9,电话
NN20250412000477,2025-04-12 13:32,良庆,合景天汇广场,家电清洗,熟练,3.5,299,3.7,58到家
NN20250422000478,2025-04-22 14:19,邕宁,大唐盛世,深度清洁,新手,4.0,255,4.2,小程序
NN20250408000479,2025-04-08 11:18,江南,南宁奥园,日常保洁,熟练,6.0,291,4.7,58到家
NN20250413000480,2025-04-13 11:48,青秀,荣和大地,深度清洁,金牌,6.5,667,4.6,小程序
NN20250421000481,2025-04-21 09:12,江南,保利城,家电清洗,熟练,2.5,184,3.5,美团
NN20250429000482,2025-04-29 18:09,良庆,南宁恒大名都,开荒保洁,金牌,7.5,1283,4.4,小程序
NN20250423000483,2025-04-23 19:24,江南,保利城,日常保洁,熟练,5.5,277,3.7,电话
NN20250415000484,2025-04-15 09:16,青秀,龙光君御华府,深度清洁,新手,4.0,280,3.9,电话
NN20250416000485,2025-04-16 14:44,武鸣,标营新区,开荒保洁,熟练,7.0,1012,3.9,小程序
NN20250424000486,2025-04-24 13:33,西乡塘,大唐天城,深度清洁,熟练,6.5,449,4.3,美团
NN20250427000487,2025-04-27 08:40,兴宁,龙基传媒星城,深度清洁,金牌,4.0,331,4.6,APP
NN20250426000488,2025-04-26 12:59,良庆,合景天汇广场,深度清洁,金牌,6.0,567,4.6,58到家
NN20250404000489,2025-04-04 18:10,良庆,恒大绿洲,日常保洁,新手,4.5,205,3.7,小程序
NN20250404000490,2025-04-04 10:47,青秀,蓝山上城,家电清洗,熟练,2.0,165,4.7,小程序
NN20250424000491,2025-04-24 10:18,良庆,港保苑,深度清洁,熟练,4.5,369,4.6,美团
NN20250427000492,2025-04-27 14:12,青秀,蓝山上城,深度清洁,熟练,6.5,577,4.6,美团
NN20250402000493,2025-04-02 14:00,兴宁,中海国际社区,日常保洁,新手,3.5,157,4.8,美团
NN20250407000494,2025-04-07 11:46,良庆,绿地国际花都,日常保洁,新手,4.5,222,4.1,58到家
NN20250411000495,2025-04-11 10:06,良庆,华润二十四城,家电清洗,熟练,3.5,321,4.2,APP
NN20250413000496,2025-04-13 13:02,良庆,华润二十四城,开荒保洁,熟练,5.5,693,4.4,APP
NN20250408000497,2025-04-08 13:18,西乡塘,人和莱茵鹭湖,家电清洗,金牌,5.0,557,4.6,APP
NN20250403000498,2025-04-03 09:14,西乡塘,大嘉汇尚悦,日常保洁,金牌,3.5,193,4.3,小程序
NN20250402000499,2025-04-02 16:31,青秀,万达公馆,深度清洁,熟练,8.0,682,3.8,美团
NN20250412000500,2025-04-12 09:33,兴宁,恒大华府,深度清洁,熟练,6.0,437,4.4,58到家
NN20250402000501,2025-04-02 13:45,良庆,华润二十四城,家电清洗,金牌,4.5,537,4.6,小程序
NN20250401000502,2025-04-01 17:43,良庆,绿地国际花都,日常保洁,熟练,3.5,201,4.4,美团
NN20250427000503,2025-04-27 13:33,西乡塘,昌泰清华园,深度清洁,熟练,6.5,460,3.5,电话
NN20250423000504,2025-04-23 19:08,青秀,华润幸福里,深度清洁,新手,3.0,199,4.2,美团
NN20250402000505,2025-04-02 14:54,江南,盛天领域,深度清洁,熟练,5.5,375,4.8,小程序
NN20250405000506,2025-04-05 10:35,良庆,龙光玖珑湖,深度清洁,熟练,6.5,549,3.1,APP
NN20250423000507,2025-04-23 10:40,良庆,合景天汇广场,深度清洁,熟练,4.5,348,4.6,美团
NN20250401000508,2025-04-01 08:06,青秀,凤岭春天,深度清洁,熟练,6.0,512,4.5,美团
NN20250402000509,2025-04-02 18:37,邕宁,中铁交通天地明珠,深度清洁,新手,3.5,225,3.8,58到家
NN20250426000510,2025-04-26 14:18,青秀,山水方园,深度清洁,金牌,7.5,771,4.2,58到家
NN20250407000511,2025-04-07 14:04,邕宁,阳光城丽景湾,深度清洁,新手,4.5,203,3.3,58到家
NN20250416000512,2025-04-16 11:58,青秀,万达公馆,深度清洁,金牌,4.5,413,4.3,小程序
NN20250407000513,2025-04-07 14:11,西乡塘,正恒国际广场,日常保洁,熟练,4.5,223,4.2,58到家
NN20250407000514,2025-04-07 16:09,青秀,龙光君御华府,深度清洁,新手,3.5,243,3.6,美团
NN20250406000515,2025-04-06 19:10,青秀,中房翡翠园,家电清洗,熟练,1.5,160,4.2,小程序
NN20250424000516,2025-04-24 18:06,武鸣,万隆国际,日常保洁,金牌,3.5,263,3.9,美团
NN20250415000517,2025-04-15 18:01,江南,昌泰鑫金绿洲,日常保洁,金牌,5.0,275,4.0,美团
NN20250407000518,2025-04-07 11:41,武鸣,万隆国际,日常保洁,金牌,4.5,330,3.7,APP
NN20250407000519,2025-04-07 19:33,江南,昌泰鑫金绿洲,日常保洁,熟练,5.5,279,3.6,58到家
NN20250411000520,2025-04-11 16:30,良庆,合景天汇广场,日常保洁,新手,4.5,216,3.9,美团
NN20250422000521,2025-04-22 11:00,青秀,荣和大地,深度清洁,金牌,4.5,436,4.0,APP
NN20250410000522,2025-04-10 15:46,西乡塘,瀚林华府,日常保洁,新手,3.5,150,4.8,小程序
NN20250402000523,2025-04-02 16:40,兴宁,联发尚筑,日常保洁,熟练,6.0,318,4.3,美团
NN20250412000524,2025-04-12 18:42,西乡塘,骋望麓涛,开荒保洁,新手,5.5,405,3.7,小程序
NN20250410000525,2025-04-10 09:09,良庆,阳光新城,深度清洁,金牌,6.0,583,4.8,电话
NN20250419000526,2025-04-19 15:02,青秀,龙光君御华府,深度清洁,新手,5.5,393,3.8,电话
NN20250414000527,2025-04-14 13:17,邕宁,龙光玖珑湾,日常保洁,新手,5.0,234,4.7,美团
NN20250412000528,2025-04-12 10:56,邕宁,南宁宝能城市广场,深度清洁,熟练,5.5,460,3.6,58到家
NN20250430000529,2025-04-30 08:39,邕宁,合景天峻广场,日常保洁,新手,5.0,229,4.2,58到家
NN20250415000530,2025-04-15 12:28,江南,龙光普罗旺斯,深度清洁,熟练,6.5,457,3.9,美团
NN20250430000531,2025-04-30 11:02,江南,龙光普罗旺斯,深度清洁,新手,3.0,169,5.0,美团
NN20250417000532,2025-04-17 08:23,良庆,融创九棠府,深度清洁,新手,4.5,289,4.0,小程序
NN20250409000533,2025-04-09 12:37,青秀,荣和大地,开荒保洁,新手,3.5,289,4.1,美团
NN20250401000534,2025-04-01 12:36,西乡塘,大嘉汇尚悦,开荒保洁,新手,4.0,284,4.7,美团
NN20250428000535,2025-04-28 12:43,武鸣,红岭小区,日常保洁,熟练,3.5,215,4.0,小程序
NN20250401000536,2025-04-01 14:28,武鸣,金茂新城,深度清洁,新手,4.0,289,4.6,电话
NN20250401000537,2025-04-01 17:22,青秀,蓝山上城,日常保洁,新手,3.5,172,4.5,美团
NN20250404000538,2025-04-04 09:58,西乡塘,人和莱茵鹭湖,家电清洗,新手,1.5,104,4.4,美团
NN20250406000539,2025-04-06 13:22,青秀,香格里拉花园,开荒保洁,熟练,4.5,553,4.8,58到家
NN20250410000540,2025-04-10 13:52,西乡塘,人和莱茵鹭湖,深度清洁,熟练,7.0,474,4.3,小程序
NN20250405000541,2025-04-05 11:52,青秀,荣和大地,深度清洁,金牌,7.0,314,3.4,美团
NN20250425000542,2025-04-25 19:53,良庆,天誉花园,日常保洁,熟练,3.5,202,3.2,APP
NN20250423000543,2025-04-23 09:50,西乡塘,人和莱茵鹭湖,深度清洁,熟练,7.5,561,4.7,58到家
NN20250426000544,2025-04-26 18:12,良庆,合景天汇广场,深度清洁,熟练,6.5,517,3.9,小程序
NN20250421000545,2025-04-21 17:54,良庆,阳光新城,家电清洗,金牌,2.0,181,4.1,APP
NN20250415000546,2025-04-15 10:52,良庆,天誉花园,开荒保洁,熟练,6.0,759,3.6,58到家
NN20250401000547,2025-04-01 15:00,江南,绿港阳光城,深度清洁,熟练,5.0,355,4.3,小程序
NN20250404000548,2025-04-04 13:29,江南,龙光普罗旺斯,深度清洁,熟练,7.0,499,4.8,APP
NN20250427000549,2025-04-27 10:37,兴宁,龙基传媒星城,开荒保洁,熟练,7.5,832,4.8,APP
NN20250414000550,2025-04-14 09:05,邕宁,阳光城丽景湾,深度清洁,新手,3.5,144,2.4,小程序
NN20250422000551,2025-04-22 15:25,邕宁,龙光玖珑湾,深度清洁,熟练,5.0,416,4.0,美团
NN20250413000552,2025-04-13 14:41,武鸣,武鸣碧桂园,日常保洁,熟练,4.5,263,3.9,美团
NN20250402000553,2025-04-02 18:38,青秀,盛天茗城,日常保洁,新手,3.0,155,3.5,APP
NN20250412000554,2025-04-12 12:19,兴宁,联发尚筑,深度清洁,新手,3.0,171,5.0,美团
NN20250402000555,2025-04-02 13:00,西乡塘,昌泰清华园,深度清洁,金牌,6.5,517,4.2,58到家
NN20250424000556,2025-04-24 12:39,邕宁,龙光玖珑湾,深度清洁,熟练,6.5,499,3.7,APP
NN20250415000557,2025-04-15 12:36,邕宁,中铁交通天地明珠,家电清洗,熟练,2.5,282,4.4,小程序
NN20250416000558,2025-04-16 13:41,邕宁,中铁交通天地明珠,日常保洁,熟练,5.0,261,4.3,美团
NN20250423000559,2025-04-23 16:15,兴宁,金源城,深度清洁,熟练,5.0,362,3.9,小程序
NN20250412000560,2025-04-12 13:04,邕宁,龙光玖珑湾,日常保洁,金牌,4.0,251,4.3,美团
NN20250404000561,2025-04-04 10:03,江南,龙光普罗旺斯,开荒保洁,新手,4.5,354,4.5,美团
NN20250417000562,2025-04-17 10:54,青秀,维也纳森林,日常保洁,新手,4.5,211,4.8,58到家
NN20250417000563,2025-04-17 16:51,兴宁,瀚林山水源,家电清洗,熟练,2.5,271,4.5,58到家
NN20250413000564,2025-04-13 19:04,江南,绿港阳光城,深度清洁,熟练,7.5,539,4.1,58到家
NN20250409000565,2025-04-09 18:50,邕宁,阳光城丽景湾,日常保洁,熟练,3.5,197,4.1,APP
NN20250429000566,2025-04-29 09:45,江南,金湾花城,日常保洁,熟练,4.0,159,2.8,小程序
NN20250407000567,2025-04-07 18:37,江南,汇东星城,日常保洁,金牌,4.5,242,3.6,小程序
NN20250410000568,2025-04-10 12:16,青秀,蓝山上城,家电清洗,熟练,4.0,466,4.4,小程序
NN20250428000569,2025-04-28 08:32,良庆,合景天汇广场,日常保洁,熟练,4.5,256,4.1,美团
NN20250406000570,2025-04-06 12:59,西乡塘,联发西棠,深度清洁,熟练,4.5,313,4.0,58到家
NN20250403000571,2025-04-03 13:04,兴宁,盛天东郡,日常保洁,熟练,5.0,187,3.1,电话
NN20250429000572,2025-04-29 14:55,良庆,南宁恒大名都,深度清洁,熟练,7.0,529,4.4,58到家
NN20250418000573,2025-04-18 10:48,江南,南宁奥园,开荒保洁,熟练,4.0,460,4.5,小程序
NN20250419000574,2025-04-19 11:33,邕宁,龙光玖珑湾,开荒保洁,金牌,7.0,1316,4.2,小程序
NN20250410000575,2025-04-10 17:33,良庆,天誉花园,日常保洁,熟练,6.0,315,4.4,小程序
NN20250430000576,2025-04-30 11:01,江南,保利城,家电清洗,新手,1.0,103,3.9,小程序
NN20250414000577,2025-04-14 08:04,良庆,碧水天和,开荒保洁,新手,6.0,525,4.2,美团
NN20250420000578,2025-04-20 19:16,良庆,恒大绿洲,深度清洁,新手,4.5,298,4.6,58到家
NN20250429000579,2025-04-29 19:19,青秀,万达公馆,日常保洁,新手,4.0,191,4.3,APP
NN20250423000580,2025-04-23 08:28,江南,保利城,深度清洁,新手,3.0,187,4.1,美团
NN20250416000581,2025-04-16 18:40,邕宁,万丰新新传说,开荒保洁,熟练,6.0,713,4.6,58到家
NN20250403000582,2025-04-03 13:48,兴宁,金源城,深度清洁,新手,4.0,225,4.1,美团
NN20250426000583,2025-04-26 10:44,良庆,万科魅力之城,深度清洁,熟练,4.5,360,4.2,小程序
NN20250402000584,2025-04-02 14:04,良庆,阳光新城,日常保洁,新手,3.0,142,3.7,美团
NN20250402000585,2025-04-02 19:37,青秀,龙光君御华府,开荒保洁,金牌,8.5,1709,4.3,小程序
NN20250421000586,2025-04-21 16:30,江南,风格雨林,深度清洁,新手,6.0,359,4.5,美团
NN20250429000587,2025-04-29 11:28,良庆,天誉花园,开荒保洁,熟练,5.5,293,3.3,APP
NN20250408000588,2025-04-08 18:24,江南,风格雨林,日常保洁,新手,4.5,190,4.1,美团
NN20250421000589,2025-04-21 16:48,武鸣,标营新区,深度清洁,熟练,5.5,480,4.5,小程序
NN20250428000590,2025-04-28 17:16,江南,金湾花城,日常保洁,金牌,4.0,237,4.7,小程序
NN20250425000591,2025-04-25 19:54,武鸣,红岭小区,家电清洗,熟练,3.5,362,4.0,美团
NN20250418000592,2025-04-18 13:57,西乡塘,大唐天城,深度清洁,金牌,5.5,480,4.5,美团
NN20250421000593,2025-04-21 12:14,青秀,香格里拉花园,深度清洁,熟练,6.0,515,4.2,小程序
NN20250409000594,2025-04-09 08:09,西乡塘,正恒国际广场,开荒保洁,新手,5.0,376,4.0,58到家
NN20250421000595,2025-04-21 17:45,武鸣,麒麟御府,深度清洁,熟练,5.0,478,3.9,美团
NN20250426000596,2025-04-26 09:22,江南,保利城,日常保洁,熟练,4.0,197,4.2,APP
NN20250403000597,2025-04-03 19:31,青秀,维也纳森林,深度清洁,新手,5.0,356,3.6,美团
NN20250429000598,2025-04-29 09:36,西乡塘,骋望麓涛,日常保洁,熟练,3.5,167,3.1,小程序
NN20250420000599,2025-04-20 16:46,江南,风格雨林,深度清洁,金牌,4.5,395,2.9,小程序
NN20250421000600,2025-04-21 10:08,良庆,阳光新城,开荒保洁,熟练,6.0,793,4.2,58到家
NN20250415000601,2025-04-15 09:40,良庆,融创九棠府,深度清洁,熟练,4.5,266,3.5,58到家
NN20250420000602,2025-04-20 08:50,西乡塘,正恒国际广场,深度清洁,熟练,5.0,351,3.8,电话
NN20250428000603,2025-04-28 09:04,良庆,合景天汇广场,深度清洁,新手,3.5,217,4.4,美团
NN20250420000604,2025-04-20 15:52,青秀,凤岭春天,深度清洁,熟练,6.5,519,4.3,APP
NN20250426000605,2025-04-26 12:20,青秀,盛天茗城,日常保洁,新手,3.5,164,4.2,美团
NN20250424000606,2025-04-24 19:11,兴宁,瀚林山水源,深度清洁,金牌,7.0,591,5.0,APP
NN20250410000607,2025-04-10 17:37,西乡塘,瀚林华府,家电清洗,熟练,2.5,122,2.5,小程序
NN20250424000608,2025-04-24 10:23,江南,绿港阳光城,日常保洁,金牌,3.5,192,4.6,58到家
NN20250407000609,2025-04-07 14:55,江南,南宁奥园,深度清洁,金牌,8.0,674,4.4,58到家
NN20250422000610,2025-04-22 12:46,良庆,南宁恒大名都,深度清洁,新手,5.0,350,3.7,美团
NN20250414000611,2025-04-14 15:48,青秀,华润幸福里,深度清洁,熟练,7.0,545,4.3,美团
NN20250428000612,2025-04-28 10:48,青秀,中房翡翠园,开荒保洁,新手,3.5,313,4.5,小程序
NN20250420000613,2025-04-20 16:57,青秀,中房翡翠园,深度清洁,新手,4.5,327,4.2,美团
NN20250419000614,2025-04-19 11:37,兴宁,联发尚筑,家电清洗,新手,3.0,221,4.4,电话
NN20250412000615,2025-04-12 12:31,武鸣,红岭小区,深度清洁,金牌,4.0,433,4.0,58到家
NN20250428000616,2025-04-28 08:00,邕宁,合景天峻广场,开荒保洁,金牌,7.5,1281,4.5,小程序
NN20250427000617,2025-04-27 12:13,邕宁,万丰新新传说,日常保洁,新手,3.5,174,3.9,美团
NN20250420000618,2025-04-20 18:41,西乡塘,昌泰清华园,日常保洁,熟练,6.0,304,4.6,APP
NN20250420000619,2025-04-20 08:38,邕宁,龙光玖珑湾,深度清洁,熟练,5.5,451,4.7,美团
NN20250410000620,2025-04-10 16:40,青秀,龙光君御华府,日常保洁,新手,5.0,237,3.2,APP
NN20250425000621,2025-04-25 09:21,邕宁,龙光玖珑湾,家电清洗,熟练,2.0,106,3.0,58到家
NN20250420000622,2025-04-20 10:03,青秀,中房翡翠园,深度清洁,金牌,5.5,525,4.5,APP
NN20250406000623,2025-04-06 13:27,兴宁,江宇世纪城,开荒保洁,熟练,7.5,861,4.9,小程序
NN20250420000624,2025-04-20 12:26,良庆,华润二十四城,日常保洁,金牌,5.0,312,4.3,美团
NN20250402000625,2025-04-02 13:57,兴宁,中海国际社区,开荒保洁,熟练,4.5,535,3.5,小程序
NN20250408000626,2025-04-08 16:41,兴宁,瀚林山水源,开荒保洁,熟练,6.0,630,4.3,APP
NN20250427000627,2025-04-27 13:43,江南,风格雨林,深度清洁,熟练,5.0,388,5.0,小程序
NN20250417000628,2025-04-17 18:42,江南,绿港阳光城,日常保洁,熟练,5.0,249,4.3,APP
NN20250427000629,2025-04-27 08:12,江南,融晟公园大地,深度清洁,新手,3.0,169,3.7,电话
NN20250410000630,2025-04-10 16:22,青秀,荣和大地,深度清洁,熟练,8.0,628,4.5,美团
NN20250424000631,2025-04-24 17:22,西乡塘,骋望麓涛,深度清洁,新手,3.0,170,4.9,小程序
NN20250401000632,2025-04-01 08:17,江南,金湾花城,日常保洁,熟练,5.5,284,4.6,小程序
NN20250417000633,2025-04-17 09:00,邕宁,南宁宝能城市广场,深度清洁,新手,3.5,233,3.9,美团
NN20250404000634,2025-04-04 10:42,武鸣,九个半岛,日常保洁,新手,3.5,181,4.3,58到家
NN20250404000635,2025-04-04 15:51,江南,盛天领域,日常保洁,熟练,3.5,169,4.2,小程序
NN20250405000636,2025-04-05 14:52,青秀,保利21世家,日常保洁,金牌,4.5,292,3.3,电话
NN20250402000637,2025-04-02 08:04,青秀,蓝山上城,日常保洁,新手,4.0,203,3.9,58到家
NN20250415000638,2025-04-15 11:11,青秀,蓝山上城,深度清洁,金牌,5.0,489,3.9,美团
NN20250410000639,2025-04-10 14:57,青秀,山水方园,深度清洁,熟练,5.0,423,2.9,美团
NN20250424000640,2025-04-24 17:49,西乡塘,瀚林华府,开荒保洁,熟练,7.5,871,4.1,美团
NN20250403000641,2025-04-03 14:34,青秀,华润幸福里,日常保洁,新手,3.0,151,5.0,美团
NN20250427000642,2025-04-27 17:05,邕宁,合景天峻广场,开荒保洁,熟练,7.0,897,3.5,美团
NN20250403000643,2025-04-03 16:19,西乡塘,瀚林华府,日常保洁,新手,3.5,98,3.5,58到家
NN20250417000644,2025-04-17 15:59,西乡塘,人和莱茵鹭湖,深度清洁,新手,3.5,144,3.0,小程序
NN20250415000645,2025-04-15 10:24,良庆,恒大绿洲,深度清洁,新手,3.0,201,5.0,APP
NN20250404000646,2025-04-04 12:23,武鸣,武鸣碧桂园,日常保洁,新手,3.0,156,5.0,APP
NN20250401000647,2025-04-01 09:07,青秀,莱茵湖畔,深度清洁,金牌,4.5,426,3.9,58到家
NN20250428000648,2025-04-28 13:21,西乡塘,昌泰清华园,深度清洁,熟练,6.0,462,3.5,美团
NN20250410000649,2025-04-10 17:29,良庆,融创九棠府,深度清洁,熟练,8.0,677,3.8,小程序
NN20250425000650,2025-04-25 12:04,青秀,万达公馆,日常保洁,熟练,4.0,234,3.8,58到家
NN20250423000651,2025-04-23 14:12,青秀,龙光君御华府,深度清洁,金牌,6.0,620,3.8,小程序
NN20250425000652,2025-04-25 13:40,青秀,荣和大地,深度清洁,金牌,7.5,765,4.7,电话
NN20250412000653,2025-04-12 17:46,青秀,塞纳维拉花园,深度清洁,熟练,4.5,365,4.4,美团
NN20250413000654,2025-04-13 17:56,西乡塘,正恒国际广场,开荒保洁,熟练,6.0,674,4.2,美团
NN20250426000655,2025-04-26 13:57,青秀,保利21世家,日常保洁,金牌,3.5,229,4.0,电话
NN20250430000656,2025-04-30 16:25,青秀,龙光君御华府,深度清洁,金牌,7.0,665,4.5,APP
NN20250410000657,2025-04-10 19:24,兴宁,保利山渐青,深度清洁,金牌,6.0,514,3.8,58到家
NN20250423000658,2025-04-23 15:40,青秀,维也纳森林,家电清洗,熟练,3.0,306,3.9,美团
NN20250420000659,2025-04-20 12:10,良庆,万科魅力之城,深度清洁,金牌,5.5,509,4.2,美团
NN20250424000660,2025-04-24 15:07,青秀,万正鸣翠谷,深度清洁,新手,4.5,308,3.5,美团
NN20250415000661,2025-04-15 12:37,良庆,碧水天和,开荒保洁,新手,5.5,466,4.6,美团
NN20250426000662,2025-04-26 09:20,良庆,合景天汇广场,深度清洁,新手,4.0,269,4.5,APP
NN20250422000663,2025-04-22 15:38,江南,龙光普罗旺斯,开荒保洁,熟练,6.0,670,4.0,美团
NN20250407000664,2025-04-07 08:01,青秀,盛天茗城,日常保洁,新手,4.0,214,3.7,小程序
NN20250406000665,2025-04-06 16:22,良庆,华润二十四城,深度清洁,熟练,7.0,591,4.6,美团
NN20250421000666,2025-04-21 16:22,江南,绿港阳光城,家电清洗,金牌,4.5,543,4.3,美团
NN20250417000667,2025-04-17 19:08,兴宁,奥园园著,深度清洁,新手,4.5,285,3.8,58到家
NN20250402000668,2025-04-02 18:06,西乡塘,大唐天城,深度清洁,新手,4.0,255,4.2,58到家
NN20250402000669,2025-04-02 17:15,武鸣,红岭小区,开荒保洁,熟练,8.0,551,3.4,美团
NN20250402000670,2025-04-02 14:57,江南,盛天领域,开荒保洁,新手,4.5,326,4.2,小程序
NN20250426000671,2025-04-26 08:50,邕宁,世茂茂御府,日常保洁,熟练,5.0,267,4.2,电话
NN20250427000672,2025-04-27 19:53,江南,盛天领域,深度清洁,熟练,7.0,535,4.3,58到家
NN20250414000673,2025-04-14 13:14,青秀,莱茵湖畔,深度清洁,金牌,4.5,440,4.7,美团
NN20250430000674,2025-04-30 15:29,青秀,华润幸福里,深度清洁,新手,6.0,420,4.5,58到家
NN20250407000675,2025-04-07 19:25,江南,汇东星城,日常保洁,新手,4.0,172,4.0,APP
NN20250407000676,2025-04-07 16:48,邕宁,阳光城丽景湾,深度清洁,新手,5.0,315,3.8,电话
NN20250407000677,2025-04-07 16:14,良庆,龙光玖珑湖,日常保洁,新手,3.5,175,4.0,APP
NN20250409000678,2025-04-09 16:43,西乡塘,大唐天城,深度清洁,金牌,7.5,657,4.3,58到家
